Date ,Actual ,Predicted,
2016-10-01,1230.12,1250.273566,
2016-11-01,1192.38,1182.950158,
2016-12-01,1183.45,1173.125583,
2017-01-01,1205.48,1165.358124,
2017-02-01,1137.25,1179.412267,
2017-03-01,1044.75,1124.99378,
2017-04-01,1113.38,1067.408393,
2017-05-01,1121.5,1178.888418,
2017-06-01,1123.5,1154.26488,
2017-07-01,1146.25,1145.244967,
2017-08-01,1195.34,1139.545434,
2017-09-01,1233.61,1230.897597,
2017-10-01,1125,1260.08675,
2017-11-01,1027.74,1034.671378,
2017-12-01,1052.84,983.81644,
2018-01-01,1022.38,1055.062775,
2018-02-01,1001.38,943.355541,
2018-03-01,886,985.144069,
2018-04-01,863.18,896.438668,
2018-05-01,843.55,885.011806,
2018-06-01,884.52,847.766169,
2018-07-01,919.58,920.768638,
2018-08-01,891.5,924.099218,
2018-09-01,874.17,896.328221,
2018-10-01,879.47,830.752878,
2018-11-01,876.88,823.510687,
2018-12-01,827.09,871.463875,
2019-01-01,819.29,786.772522,
2019-02-01,826.25,766.926354,
2019-03-01,859.66,776.274445,
2019-04-01,904.05,922.236628,
2019-05-01,886.25,920.999434,
2019-06-01,862.63,915.964955,
2019-07-01,904.34,865.370148,
2019-08-01,953.81,909.738146,
2019-09-01,926.63,968.849532,
2019-10-01,898.42,898.55293,
2019-11-01,861.88,844.253099,
2019-12-01,853.69,830.331292,
2020-01-01,778.69,841.382581,
2020-02-01,760.75,706.961795,
2020-03-01,764.4,737.223662,
2020-04-01,764.75,804.596173,
2020-05-01,719.64,760.745991,
2020-06-01,719.64,715.865413,
2020-07-01,723.04,747.953403,
2020-08-01,698.86,717.688735,
2020-09-01,682.75,678.150885,
2020-10-01,697.35,648.473226,
2020-11-01,705.91,656.302696,
2020-12-01,680,693.948093,
2021-01-01,601.38,632.611898,
2021-02-01,599.5,543.926132,
2021-03-01,636.67,578.437526,
2021-04-01,608.21,677.152506,
2021-05-01,607.38,571.830516,
2021-06-01,611.63,630.370109,
2021-07-01,679.17,621.229883,
2021-08-01,715.95,698.427044,
