date,cpo_pri
3/1/93,408
4/1/93,392
5/1/93,371
6/1/93,356
7/1/93,362
8/1/93,356
9/1/93,352
10/1/93,333
11/1/93,357
12/1/93,411
1/1/94,404
2/1/94,387
3/1/94,395
4/1/94,434
5/1/94,488
6/1/94,508
7/1/94,494
8/1/94,575
9/1/94,614
10/1/94,616
11/1/94,707
12/1/94,719
1/1/95,655
2/1/95,661
3/1/95,687
4/1/95,625
5/1/95,611
6/1/95,631
7/1/95,655
8/1/95,616
9/1/95,586
10/1/95,615
11/1/95,607
12/1/95,590
1/1/96,535
2/1/96,518
3/1/96,519
4/1/96,562
5/1/96,552
6/1/96,508
7/1/96,476
8/1/96,513
9/1/96,545
10/1/96,532
11/1/96,550
12/1/96,561
1/1/97,567
2/1/97,580
3/1/97,559
4/1/97,562
5/1/97,553
6/1/97,533
7/1/97,498
8/1/97,504
9/1/97,525
10/1/97,547
11/1/97,556
12/1/97,566
1/1/98,621
2/1/98,659
3/1/98,671
4/1/98,688
5/1/98,705
6/1/98,633
7/1/98,661
8/1/98,674
9/1/98,703
10/1/98,694
11/1/98,681
12/1/98,663
1/1/99,632
2/1/99,561
3/1/99,497
4/1/99,509
5/1/99,475
6/1/99,392
7/1/99,319
8/1/99,354
9/1/99,388
10/1/99,381
11/1/99,370
12/1/99,354
1/1/00,348
2/1/00,332
3/1/00,349
4/1/00,372
5/1/00,324
6/1/00,315
7/1/00,312
8/1/00,306
9/1/00,288
10/1/00,255
11/1/00,257
12/1/00,265
1/1/01,254
2/1/01,240
3/1/01,254
4/1/01,251
5/1/01,234
6/1/01,255
7/1/01,330
8/1/01,362
9/1/01,310
10/1/01,277
11/1/01,323
12/1/01,359.5
1/1/02,373.8
2/1/02,352.98
3/1/02,359
4/1/02,360.07
5/1/02,384.91
6/1/02,426.13
7/1/02,422.22
8/1/02,446.09
9/1/02,424.76
10/1/02,427.24
11/1/02,465.02
12/1/02,488.52
1/1/03,486.11
2/1/03,476.95
3/1/03,453.55
4/1/03,443.02
5/1/03,453.82
6/1/03,466.21
7/1/03,457.72
8/1/03,439.36
9/1/03,440.91
10/1/03,515.07
11/1/03,548
12/1/03,539.72
1/1/04,527.23
2/1/04,564.13
3/1/04,583.52
4/1/04,575.05
5/1/04,537.17
6/1/04,471.2
7/1/04,454.77
8/1/04,458.14
9/1/04,468.09
10/1/04,451.26
11/1/04,454.61
12/1/04,446.2
1/1/05,418.86
2/1/05,422.63
