Date,Price
1993-08-01,356
1993-09-01,352
1993-10-01,333
1993-11-01,357
1993-12-01,411
1994-01-01,404
1994-02-01,387
1994-03-01,395
1994-04-01,434
1994-05-01,488
1994-06-01,508
1994-07-01,494
1994-08-01,575
1994-09-01,614
1994-10-01,616
1994-11-01,707
1994-12-01,719
1995-01-01,655
1995-02-01,661
1995-03-01,687
1995-04-01,625
1995-05-01,611
1995-06-01,631
1995-07-01,655
1995-08-01,616
1995-09-01,586
1995-10-01,615
1995-11-01,607
1995-12-01,590
1996-01-01,535
1996-02-01,518
1996-03-01,519
1996-04-01,562
1996-05-01,552
1996-06-01,508
1996-07-01,476
1996-08-01,513
1996-09-01,545
1996-10-01,532
1996-11-01,550
1996-12-01,561
1997-01-01,567
1997-02-01,580
1997-03-01,559
1997-04-01,562
1997-05-01,553
1997-06-01,533
1997-07-01,498
1997-08-01,504
1997-09-01,525
1997-10-01,547
1997-11-01,556
1997-12-01,566
1998-01-01,621
1998-02-01,659
1998-03-01,671
1998-04-01,688
1998-05-01,705
1998-06-01,633
1998-07-01,661
1998-08-01,674
1998-09-01,703
1998-10-01,694
1998-11-01,681
1998-12-01,663
1999-01-01,632
1999-02-01,561
1999-03-01,497
1999-04-01,509
1999-05-01,475
1999-06-01,392
1999-07-01,319
1999-08-01,354
1999-09-01,388
1999-10-01,381
1999-11-01,370
1999-12-01,354
2000-01-01,348
2000-02-01,332
2000-03-01,349
2000-04-01,372
2000-05-01,324
2000-06-01,315
2000-07-01,312
2000-08-01,306
2000-09-01,288
2000-10-01,255
2000-11-01,257
2000-12-01,265
2001-01-01,254
2001-02-01,240
2001-03-01,254
2001-04-01,251
2001-05-01,234
2001-06-01,255
2001-07-01,330
2001-08-01,362
2001-09-01,310
2001-10-01,277
2001-11-01,323
2001-12-01,359.5
2002-01-01,373.8
2002-02-01,352.98
2002-03-01,359
2002-04-01,360.07
2002-05-01,384.91
2002-06-01,426.13
2002-07-01,422.22
2002-08-01,446.09
2002-09-01,424.76
2002-10-01,427.24
2002-11-01,465.02
2002-12-01,488.52
2003-01-01,486.11
2003-02-01,476.95
2003-03-01,453.55
2003-04-01,443.02
2003-05-01,453.82
2003-06-01,466.21
2003-07-01,457.72
2003-08-01,439.36
2003-09-01,440.91
2003-10-01,515.07
2003-11-01,548
2003-12-01,539.72
2004-01-01,527.23
2004-02-01,564.13
2004-03-01,583.52
2004-04-01,575.05
2004-05-01,537.17
2004-06-01,471.2
2004-07-01,454.77
2004-08-01,458.14
2004-09-01,468.09
2004-10-01,451.26
2004-11-01,454.61
2004-12-01,446.2
2005-01-01,418.86
2005-02-01,422.63
2005-03-01,458.13
2005-04-01,457.86
2005-05-01,450
2005-06-01,451.7
2005-07-01,454.52
2005-08-01,448.48
2005-09-01,453.64
2005-10-01,467.5
2005-11-01,466.7
2005-12-01,456.75
2006-01-01,459.05
2006-02-01,473.9
2006-03-01,472.52
2006-04-01,475.9
2006-05-01,483.72
2006-06-01,478.16
2006-07-01,499.21
2006-08-01,534.26
2006-09-01,511.24
2006-10-01,514.18
2006-11-01,571.57
2006-12-01,625.88
2007-01-01,637.59
2007-02-01,645.2
2007-03-01,660.93
2007-04-01,743.45
2007-05-01,816.09
2007-06-01,833.19
2007-07-01,854.52
2007-08-01,830.65
2007-09-01,851.63
2007-10-01,926.2
2007-11-01,998.57
2007-12-01,"1,002.22"
2008-01-01,"1,122.15"
2008-02-01,"1,268.63"
2008-03-01,"1,377.22"
2008-04-01,"1,320.11"
2008-05-01,"1,326.45"
2008-06-01,"1,293.21"
2008-07-01,"1,213.48"
2008-08-01,963.57
2008-09-01,826.02
2008-10-01,635.75
2008-11-01,581.25
2008-12-01,587.24
2009-01-01,658.55
2009-02-01,655.66
2009-03-01,660.48
2009-04-01,799.7
2009-05-01,872.61
2009-06-01,788.57
2009-07-01,698.48
2009-08-01,746.05
2009-09-01,703.85
2009-10-01,724.66
2009-11-01,763.33
2009-12-01,821.81
2010-01-01,830.88
2010-02-01,830
2010-03-01,862.83
2010-04-01,862.71
2010-05-01,855.31
2010-06-01,825.68
2010-07-01,844.43
2010-08-01,943.73
2010-09-01,948.88
2010-10-01,"1,025.83"
2010-11-01,"1,131.36"
2010-12-01,"1,234.64"
2011-01-01,"1,303.57"
2011-02-01,"1,327.21"
2011-03-01,"1,241.74"
2011-04-01,"1,219.61"
2011-05-01,"1,230.12"
2011-06-01,"1,192.38"
2011-07-01,"1,183.45"
2011-08-01,"1,205.48"
2011-09-01,"1,137.25"
2011-10-01,"1,044.75"
2011-11-01,"1,113.38"
2011-12-01,"1,121.50"
2012-01-01,"1,123.50"
2012-02-01,"1,146.25"
2012-03-01,"1,195.34"
2012-04-01,"1,233.61"
2012-05-01,"1,125.00"
2012-06-01,"1,027.74"
2012-07-01,"1,052.84"
2012-08-01,"1,022.38"
2012-09-01,"1,001.38"
2012-10-01,886
2012-11-01,863.18
2012-12-01,843.55
2013-01-01,884.52
2013-02-01,919.58
2013-03-01,891.5
2013-04-01,874.17
2013-05-01,879.47
2013-06-01,876.88
2013-07-01,827.09
2013-08-01,819.29
2013-09-01,826.25
2013-10-01,859.66
2013-11-01,904.05
2013-12-01,886.25
2014-01-01,862.63
2014-02-01,904.34
2014-03-01,953.81
2014-04-01,926.63
2014-05-01,898.42
2014-06-01,861.88
2014-07-01,853.69
2014-08-01,778.69
2014-09-01,760.75
2014-10-01,764.4
2014-11-01,764.75
2014-12-01,719.64
2015-01-01,719.64
2015-02-01,723.04
2015-03-01,698.86
2015-04-01,682.75
2015-05-01,697.35
